PING 172.44.0.2 (172.44.0.2) 512(540) bytes of data.
520 bytes from 172.44.0.2: icmp_seq=82 ttl=64 time=0.343 ms
520 bytes from 172.44.0.2: icmp_seq=83 ttl=64 time=0.293 ms
520 bytes from 172.44.0.2: icmp_seq=84 ttl=64 time=0.284 ms
520 bytes from 172.44.0.2: icmp_seq=85 ttl=64 time=0.338 ms
520 bytes from 172.44.0.2: icmp_seq=86 ttl=64 time=0.372 ms
520 bytes from 172.44.0.2: icmp_seq=87 ttl=64 time=0.474 ms
520 bytes from 172.44.0.2: icmp_seq=88 ttl=64 time=0.305 ms
520 bytes from 172.44.0.2: icmp_seq=89 ttl=64 time=0.459 ms
520 bytes from 172.44.0.2: icmp_seq=90 ttl=64 time=0.381 ms
520 bytes from 172.44.0.2: icmp_seq=91 ttl=64 time=0.363 ms
520 bytes from 172.44.0.2: icmp_seq=92 ttl=64 time=0.264 ms
520 bytes from 172.44.0.2: icmp_seq=93 ttl=64 time=0.489 ms
520 bytes from 172.44.0.2: icmp_seq=94 ttl=64 time=0.631 ms
520 bytes from 172.44.0.2: icmp_seq=95 ttl=64 time=0.331 ms
520 bytes from 172.44.0.2: icmp_seq=96 ttl=64 time=0.317 ms
520 bytes from 172.44.0.2: icmp_seq=97 ttl=64 time=0.358 ms
520 bytes from 172.44.0.2: icmp_seq=98 ttl=64 time=0.382 ms
520 bytes from 172.44.0.2: icmp_seq=99 ttl=64 time=0.388 ms
520 bytes from 172.44.0.2: icmp_seq=100 ttl=64 time=0.338 ms
520 bytes from 172.44.0.2: icmp_seq=101 ttl=64 time=0.441 ms
520 bytes from 172.44.0.2: icmp_seq=102 ttl=64 time=0.298 ms
520 bytes from 172.44.0.2: icmp_seq=103 ttl=64 time=0.390 ms
520 bytes from 172.44.0.2: icmp_seq=104 ttl=64 time=0.777 ms
520 bytes from 172.44.0.2: icmp_seq=105 ttl=64 time=0.320 ms
520 bytes from 172.44.0.2: icmp_seq=106 ttl=64 time=0.286 ms
520 bytes from 172.44.0.2: icmp_seq=107 ttl=64 time=0.320 ms
520 bytes from 172.44.0.2: icmp_seq=108 ttl=64 time=0.287 ms
520 bytes from 172.44.0.2: icmp_seq=109 ttl=64 time=0.320 ms
520 bytes from 172.44.0.2: icmp_seq=110 ttl=64 time=0.288 ms
520 bytes from 172.44.0.2: icmp_seq=111 ttl=64 time=0.318 ms
520 bytes from 172.44.0.2: icmp_seq=112 ttl=64 time=0.290 ms
520 bytes from 172.44.0.2: icmp_seq=113 ttl=64 time=0.356 ms
520 bytes from 172.44.0.2: icmp_seq=114 ttl=64 time=0.323 ms
520 bytes from 172.44.0.2: icmp_seq=115 ttl=64 time=0.325 ms
520 bytes from 172.44.0.2: icmp_seq=116 ttl=64 time=0.320 ms
520 bytes from 172.44.0.2: icmp_seq=117 ttl=64 time=0.329 ms
520 bytes from 172.44.0.2: icmp_seq=118 ttl=64 time=0.326 ms
520 bytes from 172.44.0.2: icmp_seq=119 ttl=64 time=0.288 ms
520 bytes from 172.44.0.2: icmp_seq=120 ttl=64 time=0.601 ms
520 bytes from 172.44.0.2: icmp_seq=121 ttl=64 time=0.297 ms
520 bytes from 172.44.0.2: icmp_seq=122 ttl=64 time=0.350 ms
520 bytes from 172.44.0.2: icmp_seq=123 ttl=64 time=0.301 ms
520 bytes from 172.44.0.2: icmp_seq=124 ttl=64 time=0.390 ms
520 bytes from 172.44.0.2: icmp_seq=125 ttl=64 time=0.321 ms
520 bytes from 172.44.0.2: icmp_seq=126 ttl=64 time=0.386 ms
520 bytes from 172.44.0.2: icmp_seq=127 ttl=64 time=0.305 ms
520 bytes from 172.44.0.2: icmp_seq=128 ttl=64 time=0.455 ms
520 bytes from 172.44.0.2: icmp_seq=129 ttl=64 time=0.303 ms
520 bytes from 172.44.0.2: icmp_seq=130 ttl=64 time=0.288 ms
520 bytes from 172.44.0.2: icmp_seq=131 ttl=64 time=0.275 ms
520 bytes from 172.44.0.2: icmp_seq=132 ttl=64 time=0.342 ms
520 bytes from 172.44.0.2: icmp_seq=133 ttl=64 time=0.228 ms
520 bytes from 172.44.0.2: icmp_seq=134 ttl=64 time=0.217 ms
520 bytes from 172.44.0.2: icmp_seq=135 ttl=64 time=0.234 ms
520 bytes from 172.44.0.2: icmp_seq=136 ttl=64 time=0.230 ms
520 bytes from 172.44.0.2: icmp_seq=137 ttl=64 time=0.584 ms
520 bytes from 172.44.0.2: icmp_seq=138 ttl=64 time=0.239 ms
520 bytes from 172.44.0.2: icmp_seq=139 ttl=64 time=0.313 ms
520 bytes from 172.44.0.2: icmp_seq=140 ttl=64 time=0.904 ms
520 bytes from 172.44.0.2: icmp_seq=141 ttl=64 time=0.381 ms
520 bytes from 172.44.0.2: icmp_seq=142 ttl=64 time=0.177 ms
520 bytes from 172.44.0.2: icmp_seq=143 ttl=64 time=0.354 ms
520 bytes from 172.44.0.2: icmp_seq=144 ttl=64 time=0.324 ms
520 bytes from 172.44.0.2: icmp_seq=145 ttl=64 time=0.423 ms
520 bytes from 172.44.0.2: icmp_seq=146 ttl=64 time=0.589 ms
520 bytes from 172.44.0.2: icmp_seq=147 ttl=64 time=0.265 ms
520 bytes from 172.44.0.2: icmp_seq=148 ttl=64 time=0.282 ms
520 bytes from 172.44.0.2: icmp_seq=149 ttl=64 time=0.356 ms
520 bytes from 172.44.0.2: icmp_seq=150 ttl=64 time=0.289 ms
520 bytes from 172.44.0.2: icmp_seq=151 ttl=64 time=0.411 ms
520 bytes from 172.44.0.2: icmp_seq=152 ttl=64 time=0.507 ms
520 bytes from 172.44.0.2: icmp_seq=153 ttl=64 time=0.252 ms
520 bytes from 172.44.0.2: icmp_seq=154 ttl=64 time=0.302 ms
520 bytes from 172.44.0.2: icmp_seq=155 ttl=64 time=0.307 ms
520 bytes from 172.44.0.2: icmp_seq=156 ttl=64 time=0.286 ms
520 bytes from 172.44.0.2: icmp_seq=157 ttl=64 time=0.259 ms
520 bytes from 172.44.0.2: icmp_seq=158 ttl=64 time=0.269 ms
520 bytes from 172.44.0.2: icmp_seq=159 ttl=64 time=0.259 ms
520 bytes from 172.44.0.2: icmp_seq=160 ttl=64 time=0.325 ms
520 bytes from 172.44.0.2: icmp_seq=161 ttl=64 time=0.304 ms
520 bytes from 172.44.0.2: icmp_seq=162 ttl=64 time=0.380 ms
520 bytes from 172.44.0.2: icmp_seq=163 ttl=64 time=0.303 ms
520 bytes from 172.44.0.2: icmp_seq=164 ttl=64 time=0.365 ms
520 bytes from 172.44.0.2: icmp_seq=165 ttl=64 time=0.642 ms
520 bytes from 172.44.0.2: icmp_seq=166 ttl=64 time=0.381 ms
520 bytes from 172.44.0.2: icmp_seq=167 ttl=64 time=0.570 ms
520 bytes from 172.44.0.2: icmp_seq=168 ttl=64 time=0.326 ms
520 bytes from 172.44.0.2: icmp_seq=169 ttl=64 time=0.656 ms
520 bytes from 172.44.0.2: icmp_seq=170 ttl=64 time=0.946 ms
520 bytes from 172.44.0.2: icmp_seq=171 ttl=64 time=0.678 ms
520 bytes from 172.44.0.2: icmp_seq=172 ttl=64 time=0.709 ms
520 bytes from 172.44.0.2: icmp_seq=173 ttl=64 time=0.590 ms
520 bytes from 172.44.0.2: icmp_seq=174 ttl=64 time=0.752 ms
520 bytes from 172.44.0.2: icmp_seq=175 ttl=64 time=0.334 ms
520 bytes from 172.44.0.2: icmp_seq=176 ttl=64 time=0.342 ms
520 bytes from 172.44.0.2: icmp_seq=177 ttl=64 time=0.475 ms
520 bytes from 172.44.0.2: icmp_seq=178 ttl=64 time=0.384 ms
520 bytes from 172.44.0.2: icmp_seq=179 ttl=64 time=0.323 ms
520 bytes from 172.44.0.2: icmp_seq=180 ttl=64 time=0.383 ms
520 bytes from 172.44.0.2: icmp_seq=181 ttl=64 time=0.690 ms
520 bytes from 172.44.0.2: icmp_seq=182 ttl=64 time=0.504 ms
520 bytes from 172.44.0.2: icmp_seq=183 ttl=64 time=0.399 ms
520 bytes from 172.44.0.2: icmp_seq=184 ttl=64 time=0.395 ms
520 bytes from 172.44.0.2: icmp_seq=185 ttl=64 time=0.635 ms
